# Help lines for point 1
9.00 0 0
9.00 3.00 0
0 3.00 0
9.00 3.00 0
9.00 3.00 0
9.00 3.00 11.00
# Help lines for point 2
6.00 0 0
6.00 11.50 0
0 11.50 0
6.00 11.50 0
6.00 11.50 0
6.00 11.50 7.40
# Help lines for point 3
32.00 0 0
32.00 12.00 0
0 12.00 0
32.00 12.00 0
32.00 12.00 0
32.00 12.00 5.00
# Help lines for point 4
30.00 0 0
30.00 10.00 0
0 10.00 0
30.00 10.00 0
30.00 10.00 0
30.00 10.00 5.50
# Help lines for point 5
27.32 0 0
27.32 5.30 0
0 5.30 0
27.32 5.30 0
27.32 5.30 0
27.32 5.30 12.00
# Help lines
22.04 0 0
22.04 9.62 0
0 9.62 0
22.04 9.62 0
22.04 9.62 0
22.04 9.62 7.11
# Points and center of mass coordinates
9.00 3.00 11.00
6.00 11.50 7.40
32.00 12.00 5.00
30.00 10.00 5.50
27.32 5.30 12.00
22.04 9.62 7.11
