# Help lines for point 1
5.00 0 0
5.00 5.00 0
0 5.00 0
5.00 5.00 0
5.00 5.00 0
5.00 5.00 6.50
# Help lines for point 2
2.00 0 0
2.00 2.00 0
0 2.00 0
2.00 2.00 0
2.00 2.00 0
2.00 2.00 3.00
# Help lines for point 3
9.00 0 0
9.00 3.00 0
0 3.00 0
9.00 3.00 0
9.00 3.00 0
9.00 3.00 11.00
# Help lines for point 4
6.00 0 0
6.00 11.50 0
0 11.50 0
6.00 11.50 0
6.00 11.50 0
6.00 11.50 7.40
# Help lines for point 5
3.50 0 0
3.50 15.00 0
0 15.00 0
3.50 15.00 0
3.50 15.00 0
3.50 15.00 11.00
# Help lines for point 6
32.00 0 0
32.00 12.00 0
0 12.00 0
32.00 12.00 0
32.00 12.00 0
32.00 12.00 5.00
# Help lines for point 7
30.00 0 0
30.00 10.00 0
0 10.00 0
30.00 10.00 0
30.00 10.00 0
30.00 10.00 5.50
# Help lines for point 8
4.00 0 0
4.00 4.00 0
0 4.00 0
4.00 4.00 0
4.00 4.00 0
4.00 4.00 4.00
# Help lines for point 9
27.32 0 0
27.32 5.30 0
0 5.30 0
27.32 5.30 0
27.32 5.30 0
27.32 5.30 12.00
# Help lines
16.86 0 0
16.86 7.94 0
0 7.94 0
16.86 7.94 0
16.86 7.94 0
16.86 7.94 5.74
# Points and center of mass coordinates
5.00 5.00 6.50
2.00 2.00 3.00
9.00 3.00 11.00
6.00 11.50 7.40
3.50 15.00 11.00
32.00 12.00 5.00
30.00 10.00 5.50
4.00 4.00 4.00
27.32 5.30 12.00
16.86 7.94 5.74
